date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,North East,E12000001,2647014,98046,16355,14442,22021,27290,17938,26635,22066,1704,2865,33271,12490,6527,5650,8604,2462720,2397557,8384,2621,2375,51783,26342,10406,15936
2021,North West,E12000002,7417398,622685,60859,54051,140413,303611,63751,173918,126608,25919,21391,163245,47829,30011,46962,38443,6347394,6019385,61422,5741,7359,253487,110156,43865,66291
2021,Yorkshire and The Humber,E12000003,5480774,487055,29018,29589,81322,296437,50689,117643,80907,22736,14000,117017,36888,15644,39296,25189,4679965,4431265,25215,5891,9464,208130,79094,25474,53620
2021,East Midlands,E12000004,4880054,391103,20980,22973,229831,71038,46281,129986,83161,30828,15997,117247,30803,14341,46400,25703,4179774,3882390,27130,4620,7196,258438,61944,13360,48584
2021,West Midlands,E12000005,5950757,794264,77518,33301,276030,319165,88250,269019,146089,90192,32738,178224,46478,16011,81193,34542,4585024,4275557,47886,6207,6809,248565,124226,31790,92436
2021,East,E12000006,6335068,405869,50685,38444,136974,99452,80314,184949,118731,41884,24334,179654,51448,27376,51950,48880,5478364,4972149,57964,8977,9675,429599,86232,15639,70593
2021,London,E12000007,8799725,1817640,322054,147520,656272,290549,401245,1188370,697054,345405,145911,505775,125188,77341,132555,170691,4731172,3239281,156333,7031,37689,1290838,556768,139791,416977
2021,South East,E12000008,9278063,650545,39881,64329,241537,145311,159487,221584,150540,43523,27521,260871,88106,38633,62087,72045,8009380,7315058,78219,16748,12786,586569,135683,29574,106109
2021,South West,E12000009,5701186,159184,12217,26516,58847,17432,44172,69614,43318,17226,9070,114074,34960,15644,33217,30253,5309608,5008149,31698,6382,5785,257594,48706,10302,38404
2021,Wales,W92000004,3107494,89028,15314,14454,21070,17534,20656,27554,19907,3700,3947,48598,14035,8068,13732,12763,2915848,2814247,13214,3550,1843,82994,26466,11641,14825
